Cap-shape,Cap-surface,Cap-color,Gill-type,Gill-color,Stipe,Flesh,Volva,Ring,Class
Cap9,Fa3,Col9,Gty1,Gc1,Sti4,Fl2,V1,R1,F
Cap9,Fa6,Col2,Gty1,Gc1,Sti2,Fl2,V1,R2,F
Cap9,Fa6,Col3,Gty1,Gc1,Sti2,Fl2,V1,R2,F
Cap10,Fa6,Col2,Gty1,Gc1,Sti2,Fl2,V1,R2,F
Cap10,Fa6,Col3,Gty1,Gc1,Sti2,Fl2,V1,R2,F
Cap9,Fa4,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap9,Fa4,Col5,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap9,Fa4,Col8,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap10,Fa4,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap10,Fa4,Col5,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap10,Fa4,Col8,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap8,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col2,Gty1,Gc1,Sti3,Fl2,V1,R1,T
Cap9,Fa1,Col4,Gty1,Gc1,Sti3,Fl2,V1,R1,T
Cap8,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap10,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap1,Fa1,Col5,Gty1,Gc1,Sti1,Fl1,V1,R1,F
Cap1,Fa1,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,F
Cap3,Fa1,Col5,Gty3,Gc6,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col5,Gty3,Gc6,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col5,Gty1,Gc1,Sti4,Fl3,V1,R1,F
Cap3,Fa1,Col9,Gty1,Gc1,Sti4,Fl3,V1,R1,F
Cap3,Fa1,Col5,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap4,Fa1,Col1,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap4,Fa1,Col9,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap4,Fa1,Col2,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap4,Fa1,Col3,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap11,Fa1,Col2,Gty1,Gc1,Sti2,Fl2,V1,R1,T
Cap11,Fa1,Col5,Gty1,Gc1,Sti2,Fl2,V1,R1,T
Cap11,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,T
Cap15,Fa6,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap15,Fa6,Col10,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap15,Fa6,Col8,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap15,Fa6,Col10,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap15,Fa6,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap11,Fa1,Col1,Gty4,Gc6,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col9,Gty4,Gc6,Sti2,Fl2,V1,R1,F
